"network","es"
"RetrosplenialTemporal",-0.217576416847351
"RetrosplenialTemporal",-0.253417665248576
"RetrosplenialTemporal",-0.266856557216558
"RetrosplenialTemporal",-0.187778971327736
"RetrosplenialTemporal",-0.217616476198084
"RetrosplenialTemporal",-0.267010134749111
"RetrosplenialTemporal",-0.298937364936566
"RetrosplenialTemporal",-0.316866204677253
"RetrosplenialTemporal",-0.319081484939659
"RetrosplenialTemporal",-0.286019737922126
"RetrosplenialTemporal",-0.290087339579165
"RetrosplenialTemporal",-0.314566828991909
"RetrosplenialTemporal",-0.261271753374506
"RetrosplenialTemporal",-0.214127773443871
"RetrosplenialTemporal",-0.305771689186217
"RetrosplenialTemporal",-0.318097747340916
"RetrosplenialTemporal",-0.349243008692731
"RetrosplenialTemporal",-0.370672511445443
"RetrosplenialTemporal",-0.356882197926907
"RetrosplenialTemporal",-0.347695985660765
"RetrosplenialTemporal",-0.340515445816327
"RetrosplenialTemporal",-0.293124322181507
"RetrosplenialTemporal",-0.260306882392982
"RetrosplenialTemporal",-0.224381478063592
"RetrosplenialTemporal",-0.329411599562728
"RetrosplenialTemporal",-0.353681464823874
"RetrosplenialTemporal",-0.408557059855914
"RetrosplenialTemporal",-0.427383525845324
"RetrosplenialTemporal",-0.417565457071005
"RetrosplenialTemporal",-0.386261744199497
"RetrosplenialTemporal",-0.349126839979703
"RetrosplenialTemporal",-0.337593857665512
"RetrosplenialTemporal",-0.249874884700032
"RetrosplenialTemporal",-0.379033427370531
"RetrosplenialTemporal",-0.430848379762465
"RetrosplenialTemporal",-0.477622562884875
"RetrosplenialTemporal",-0.506012371154795
"RetrosplenialTemporal",-0.47266950683175
"RetrosplenialTemporal",-0.413799164550093
"RetrosplenialTemporal",-0.383106766313328
"RetrosplenialTemporal",-0.326494017179188
"RetrosplenialTemporal",-0.232860243131629
"RetrosplenialTemporal",-0.455175437416848
"RetrosplenialTemporal",-0.516995240559484
"RetrosplenialTemporal",-0.589237442227044
"RetrosplenialTemporal",-0.558687991467653
"RetrosplenialTemporal",-0.512818283251234
"RetrosplenialTemporal",-0.462503802523695
"RetrosplenialTemporal",-0.391423917502997
"RetrosplenialTemporal",-0.305735687353383
"RetrosplenialTemporal",-0.522784790784633
"RetrosplenialTemporal",-0.6206928072226
"RetrosplenialTemporal",-0.63177050016751
"RetrosplenialTemporal",-0.581716088128387
"RetrosplenialTemporal",-0.542943452113764
"RetrosplenialTemporal",-0.452141110525581
"RetrosplenialTemporal",-0.381225125739623
"RetrosplenialTemporal",-0.603323880990706
"RetrosplenialTemporal",-0.651133656398815
"RetrosplenialTemporal",-0.635415137268488
"RetrosplenialTemporal",-0.605048695590023
"RetrosplenialTemporal",-0.57274949242834
"RetrosplenialTemporal",-0.468882933806838
"RetrosplenialTemporal",-0.370864527923711
"RetrosplenialTemporal",-0.626365230096792
"RetrosplenialTemporal",-0.648584035881027
"RetrosplenialTemporal",-0.641229825821717
"RetrosplenialTemporal",-0.656516067701819
"RetrosplenialTemporal",-0.596955344346394
"RetrosplenialTemporal",-0.471091512036314
"RetrosplenialTemporal",-0.614776885634079
"RetrosplenialTemporal",-0.653036539202616
"RetrosplenialTemporal",-0.693400925932667
"RetrosplenialTemporal",-0.630706508815666
"RetrosplenialTemporal",-0.544983487603092
"RetrosplenialTemporal",-0.628903273515486
"RetrosplenialTemporal",-0.674836633653607
"RetrosplenialTemporal",-0.621245842391512
"RetrosplenialTemporal",-0.541943786483059
"RetrosplenialTemporal",-0.625862327954983
"RetrosplenialTemporal",-0.594828088331706
"RetrosplenialTemporal",-0.553755438670175
"RetrosplenialTemporal",-0.591247807921937
"RetrosplenialTemporal",-0.577438294507899
"RetrosplenialTemporal",-0.60262475910177
"RetrosplenialTemporal",-0.257404124676914
"RetrosplenialTemporal",-0.298590727075917
"RetrosplenialTemporal",-0.325408746959932
"RetrosplenialTemporal",-0.481074078629446
"RetrosplenialTemporal",-0.503449203310184
"RetrosplenialTemporal",-0.533681577800595
"RetrosplenialTemporal",-0.514740374859197
"RetrosplenialTemporal",-0.455710208652933
"RetrosplenialTemporal",-0.464035444376955
"RetrosplenialTemporal",-0.394657183700308
"RetrosplenialTemporal",-0.448509394720084
"RetrosplenialTemporal",-0.460217996938712
"RetrosplenialTemporal",-0.427906140513112
"RetrosplenialTemporal",-0.415902569030378
"RetrosplenialTemporal",-0.403179556412512
"RetrosplenialTemporal",-0.355491626460002
"RetrosplenialTemporal",-0.392155246172407
"RetrosplenialTemporal",-0.417538658847564
"RetrosplenialTemporal",-0.419787687512795
"RetrosplenialTemporal",-0.402676602593887
"RetrosplenialTemporal",-0.372207770665681
"RetrosplenialTemporal",-0.354531488898311
"RetrosplenialTemporal",-0.360958294836706
"RetrosplenialTemporal",-0.381534913456305
"RetrosplenialTemporal",-0.315443617511491
"RetrosplenialTemporal",-0.314470102631067
"RetrosplenialTemporal",-0.351538432800768
"RetrosplenialTemporal",-0.363438048786978
"RetrosplenialTemporal",-0.342837696130999
"RetrosplenialTemporal",-0.336884533364098
"RetrosplenialTemporal",-0.36393243980971
"RetrosplenialTemporal",-0.410763145411289
"RetrosplenialTemporal",-0.423103138012324
"RetrosplenialTemporal",-0.425973436290779
"RetrosplenialTemporal",-0.214171802996979
"RetrosplenialTemporal",-0.247363382380159
"RetrosplenialTemporal",-0.276121166968646
"RetrosplenialTemporal",-0.281764425429981
"RetrosplenialTemporal",-0.28491261528023
"RetrosplenialTemporal",-0.30080580433708
"RetrosplenialTemporal",-0.347645674436653
"RetrosplenialTemporal",-0.408843801298005
"RetrosplenialTemporal",-0.434725240838161
"RetrosplenialTemporal",-0.141022229306224
"RetrosplenialTemporal",-0.164172644013983
"RetrosplenialTemporal",-0.2043613127091
"RetrosplenialTemporal",-0.23497596993557
"RetrosplenialTemporal",-0.239458997208722
"RetrosplenialTemporal",-0.306082969238343
"RetrosplenialTemporal",-0.363208993222306
"RetrosplenialTemporal",-0.390788586128558
"RetrosplenialTemporal",-0.144009162469121
"RetrosplenialTemporal",-0.174024440531554
"RetrosplenialTemporal",-0.202800668159522
"RetrosplenialTemporal",-0.257715866736475
"RetrosplenialTemporal",-0.316438566697855
"RetrosplenialTemporal",-0.348187849634951
"RetrosplenialTemporal",-0.200717062991676
"RetrosplenialTemporal",-0.264110603570558
"RetrosplenialTemporal",-0.319212026911602
"RetrosplenialTemporal",-0.378453896716568
"RetrosplenialTemporal",-0.456125141862898
"RetrosplenialTemporal",-0.526298051057123
"RetrosplenialTemporal",-0.587055397712856
"RetrosplenialTemporal",-0.604915511253658
"RetrosplenialTemporal",-0.595675700473783
"RetrosplenialTemporal",-0.562462446802863
"RetrosplenialTemporal",-0.524264291682396
"RetrosplenialTemporal",-0.479774725261224
"RetrosplenialTemporal",-0.380176664786775
"RetrosplenialTemporal",-0.162979497172635
"RetrosplenialTemporal",-0.230152670216036
"RetrosplenialTemporal",-0.152109537161829
"RetrosplenialTemporal",-0.258284178245762
"RetrosplenialTemporal",-0.193178738481924
"RetrosplenialTemporal",-0.135236990840581
"RetrosplenialTemporal",-0.275289241383287
"RetrosplenialTemporal",-0.19218754805858
"RetrosplenialTemporal",-0.140790163771947
"RetrosplenialTemporal",-0.103228026962668
"RetrosplenialTemporal",-0.357564548631784
"RetrosplenialTemporal",-0.263830014702898
"RetrosplenialTemporal",-0.190270154633134
"RetrosplenialTemporal",-0.150900602037309
"RetrosplenialTemporal",-0.0961647863540075
"RetrosplenialTemporal",-0.455928675388439
"RetrosplenialTemporal",-0.374632648564336
"RetrosplenialTemporal",-0.283983878668848
"RetrosplenialTemporal",-0.212529631317353
"RetrosplenialTemporal",-0.154871064529078
"RetrosplenialTemporal",-0.547094877176293
"RetrosplenialTemporal",-0.485257829319003
"RetrosplenialTemporal",-0.406045130593111
"RetrosplenialTemporal",-0.298208771295887
"RetrosplenialTemporal",-0.221982692508701
"RetrosplenialTemporal",-0.161177619990113
"RetrosplenialTemporal",-0.578437992371494
"RetrosplenialTemporal",-0.547772834848872
"RetrosplenialTemporal",-0.496824245142892
"RetrosplenialTemporal",-0.369113071678356
"RetrosplenialTemporal",-0.290198705247267
"RetrosplenialTemporal",-0.210772102509997
"RetrosplenialTemporal",-0.153245618030602
"RetrosplenialTemporal",-0.583520814649164
"RetrosplenialTemporal",-0.560161746755227
"RetrosplenialTemporal",-0.509122082368252
"RetrosplenialTemporal",-0.416307322778277
"RetrosplenialTemporal",-0.351671376989787
"RetrosplenialTemporal",-0.269839388731037
"RetrosplenialTemporal",-0.196945931775192
"RetrosplenialTemporal",-0.164026121456087
"RetrosplenialTemporal",-0.54648855099376
"RetrosplenialTemporal",-0.535389168774573
"RetrosplenialTemporal",-0.511694558563062
"RetrosplenialTemporal",-0.454854833588217
"RetrosplenialTemporal",-0.394214622520362
"RetrosplenialTemporal",-0.332979182268532
"RetrosplenialTemporal",-0.25218844564866
"RetrosplenialTemporal",-0.225985302513325
"RetrosplenialTemporal",-0.195507958682275
"RetrosplenialTemporal",-0.521947538482868
"RetrosplenialTemporal",-0.525276925398211
"RetrosplenialTemporal",-0.491000514885006
"RetrosplenialTemporal",-0.431713274857672
"RetrosplenialTemporal",-0.378338282083929
"RetrosplenialTemporal",-0.352574631775159
"RetrosplenialTemporal",-0.304357026714605
"RetrosplenialTemporal",-0.266408452236893
"RetrosplenialTemporal",-0.2310403745261
"RetrosplenialTemporal",-0.176558402683783
"RetrosplenialTemporal",-0.470406072762131
"RetrosplenialTemporal",-0.509621241905475
"RetrosplenialTemporal",-0.50834997421864
"RetrosplenialTemporal",-0.407111211206002
"RetrosplenialTemporal",-0.359790517169168
"RetrosplenialTemporal",-0.340921144482674
"RetrosplenialTemporal",-0.304148072654363
"RetrosplenialTemporal",-0.265287135805652
"RetrosplenialTemporal",-0.213339834710872
"RetrosplenialTemporal",-0.179645434968166
"RetrosplenialTemporal",-0.418398296909957
"RetrosplenialTemporal",-0.483965754557804
"RetrosplenialTemporal",-0.480366522910554
"RetrosplenialTemporal",-0.390824106406698
"RetrosplenialTemporal",-0.355181703274032
"RetrosplenialTemporal",-0.321316551652508
"RetrosplenialTemporal",-0.269210537603213
"RetrosplenialTemporal",-0.224124328675549
"RetrosplenialTemporal",-0.177936998204504
"RetrosplenialTemporal",-0.14714955384335
"RetrosplenialTemporal",-0.131182869966358
"RetrosplenialTemporal",-0.383789258938473
"RetrosplenialTemporal",-0.423102790668665
"RetrosplenialTemporal",-0.383415637997629
"RetrosplenialTemporal",-0.34358745262173
"RetrosplenialTemporal",-0.300930462412277
"RetrosplenialTemporal",-0.243863419432862
"RetrosplenialTemporal",-0.178635179907295
"RetrosplenialTemporal",-0.136633673059127
"RetrosplenialTemporal",-0.111704471626296
"RetrosplenialTemporal",-0.0982537922982358
"RetrosplenialTemporal",-0.336785912489059
"RetrosplenialTemporal",-0.345185825715099
"RetrosplenialTemporal",-0.320164336689922
"RetrosplenialTemporal",-0.285658053245243
"RetrosplenialTemporal",-0.215680610866828
